id,name,foundedYear,president,stadium,city,country,website,logoUrl
ASG,AS Gabès,,,Gabès Municipal Stadium,Gabès,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/0/00/AS_Gab%C3%A8s_%28logo%29.png
ASM,AS Marsa,,,Abdelaziz Chtioui Stadium,Tunis (La Marsa),Tunisia,,https://upload.wikimedia.org/wikipedia/fr/9/97/Asm_logo.png
ASS,AS Soliman,,,Soliman Municipal Stadium,Soliman,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/1/1b/AS_Soliman.png
CAF,Club Africain,1920,,Hammadi Agrebi Stadium,Tunis (Bab Jedid),,https://upload.wikimedia.org/wikipedia/fr/3/33/Logo_Club_africain.svg
CAB,CA Bizertin,1928,Samir Yacoub,15 October Stadium,Bizerte,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/2/2b/CAB_logo2.png
CSS,CS Sfaxien,1928,,Taieb Mhiri Stadium,Sfax,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/4/45/CS_Sfaxien.gif
ESM,ES Métlaoui,,,Métlaoui Municipal Stadium,Métlaoui,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/f/f9/%C3%89toile_sportive_de_M%C3%A9tlaoui.png
ESS,Étoile du Sahel,1925,,Sousse Olympic Stadium,Sousse,Tunisia,https://etoiledusahel.com,https://upload.wikimedia.org/wikipedia/fr/5/52/Blason_%C3%A9toile_du_sahel.svg
EST,Espérance de Tunis,1919,Hamdi Meddeb,Hammadi Agrebi Stadium,Tunis (Bab Souika),Tunisia,http://est.org.tn,https://upload.wikimedia.org/wikipedia/fr/6/6b/EST_New_Logo_2012.png
ESZ,Espérance de Zarzis,1934,,Abdessalam Kazouz Stadium,Zarzis,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/4/47/Esz.png
JSK,JS Kairouan,1942,,Hamda Laouani Stadium,Kairouan,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/d/db/Jeunesse_sportive_kairouanaise.png
JSEO,JS El Omrane,1943,Rafik Bahri,Chedly Zouiten Stadium,Tunis (El Omrane),Tunisia,,https://upload.wikimedia.org/wikipedia/fr/d/d4/JSO_Logo.png
OB,Olympique Béja,1929,,Boujemaa Kmiti Stadium,Béja,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/e/e7/Olympique_de_Beja-1-.gif
ST,Stade Tunisien,1948,,Hédi Enneifer Stadium,Tunis (Le Bardo),Tunisia,,https://upload.wikimedia.org/wikipedia/fr/d/d7/Logo_Stade_tunisien.svg
USBG,US Ben Guerdane,1936,,7 March Stadium,Ben Guerdane,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/c/c9/US_Ben_Guerdane.png
USM,US Monastir,1923,,Mustapha Ben Jannet Stadium,Monastir,Tunisia,,https://upload.wikimedia.org/wikipedia/fr/1/1b/Union_sportive_monastirienne.png
